"자치구","안심 주소","CCTV 용도","위도","경도","CCTV 수량","수정 일시"
"용산구","공원7-36(00) 20-2차(공원후문 운동공간)","공원7-36(00) 20-2차(공원후문 운동공간)","37.5464","126.9615","1","2022-12-01"
"용산구","공원7-37(00) (반공투사위령탑주변 화장실 (기념식수지화장실))","공원7-37(00) (반공투사위령탑주변 화장실 (기념식수지화장실))","37.5460","126.9603","1","2022-12-01"
"용산구","공원7-38(00) (노인회관 옆 쉼터)","공원7-38(00) (노인회관 옆 쉼터)","37.5452","126.9589","1","2022-12-01"
"용산구","공원7-39(00) (대한노인회 중앙회 입구)","공원7-39(00) (대한노인회 중앙회 입구)","37.5442","126.9581","1","2022-12-01"
"용산구","공원7-40(00) (관리사무소 화장실주변)","공원7-40(00) (관리사무소 화장실주변)","37.5448","126.9623","1","2022-12-01"
"용산구","공원7-41(00) (게이트볼장 화장실)","공원7-41(00) (게이트볼장 화장실)","37.5436","126.9586","1","2022-12-01"
"용산구","공원7-47(00) (효창공원내 운동시설)","공원7-47(00) (효창공원내 운동시설)","37.5463","126.9613","1","2022-12-01"
"용산구","공원7-49(00) 20-2차(의열사당 내부)","공원7-49(00) 20-2차(의열사당 내부)","37.5453","126.9604","1","2022-12-01"
"용산구","교지01-28(00) 20-2차(후암동 30-171 앞(용산도서관 앞))","교지01-28(00) 20-2차(후암동 30-171 앞(용산도서관 앞))","37.5517","126.9801","1","2022-12-01"
"용산구","교지01-33(00) (후암동 418-13)","교지01-33(00) (후암동 418-13)","37.5469","126.9813","1","2022-12-01"
"용산구","교지01-41(00) (후암동 63-3 후암시장)","교지01-41(00) (후암동 63-3 후암시장)","37.5502","126.9772","1","2022-12-01"
"용산구","교지01-52(00) (후암동 336-11 대림하이츠타운 앞)","교지01-52(00) (후암동 336-11 대림하이츠타운 앞)","37.5500","126.9815","1","2022-12-01"
"용산구","교지01-52(A1) (두텁바위로 127)","교지01-52(A1) (두텁바위로 127)","37.5503","126.9814","1","2022-12-01"
"용산구","교지02-35(00) (용산동2가 11-13 용산동2가 주민센터)","교지02-35(00) (용산동2가 11-13 용산동2가 주민센터)","37.5459","126.9855","1","2022-12-01"
"용산구","교지02-46(00) (용산동2가 46-3 수호빌라 앞)","교지02-46(00) (용산동2가 46-3 수호빌라 앞)","37.5406","126.9869","1","2022-12-01"
"용산구","교지02-47(00) (용산동2가 45-5 새마을금고 건너편)","교지02-47(00) (용산동2가 45-5 새마을금고 건너편)","37.5419","126.9874","1","2022-12-01"
